timestamp,mem_total,mem_free,mem_available,swap_total,swap_free,pgfault,pgmajfault,slab_unreclaim,cpu_usage,load_avg_1m,load_avg_5m,load_avg_15m,context_switches,disk_read,disk_write,net_recv_rate,net_sent_rate
2025-05-30 22:42:52,4056416256,2479280128,2616745984,2243948544,2243948544,32900492,4837,0,100.0,0.5869140625,0.49853515625,0.27783203125,1762685,1460963328,5954057216,0,0
2025-05-30 22:42:58,4056416256,2479280128,2616754176,2243948544,2243948544,32900523,4837,0,100.0,0.7001953125,0.52392578125,0.287109375,1769219,1460963328,5954081792,0,0
2025-05-30 22:43:04,4056416256,2479280128,2616762368,2243948544,2243948544,32900536,4837,0,1.0,0.64404296875,0.51513671875,0.28515625,1771625,1460975616,5954098176,0,0
2025-05-30 22:43:10,4056416256,2472828928,2606903296,2243948544,2243948544,32902116,4876,0,1.0,0.59228515625,0.50634765625,0.283203125,1772960,1464911872,5954274304,0,0
2025-05-30 22:43:16,4056416256,2472828928,2608320512,2243948544,2243948544,32902116,4876,0,0.0,0.57470703125,0.505859375,0.28515625,1773626,1465989120,5954495488,0,0
2025-05-30 22:43:22,4056416256,2472828928,2608857088,2243948544,2243948544,32902209,4881,0,100.0,0.60888671875,0.51416015625,0.2890625,1774266,1466517504,5954536448,0,0
2025-05-30 22:43:28,4056416256,2472828928,2608865280,2243948544,2243948544,32902221,4881,0,1.0,0.640625,0.5224609375,0.29296875,1774870,1466517504,5954540544,0,0
2025-05-30 22:43:34,4056416256,2472828928,2608918528,2243948544,2243948544,32931021,4881,0,1.0,0.5888671875,0.513671875,0.291015625,1775941,1466562560,5954593792,0,0
2025-05-30 22:43:40,4056416256,2472828928,2608918528,2243948544,2243948544,32931021,4881,0,0.0,0.54150390625,0.5048828125,0.2890625,1776520,1466562560,5954634752,0,0
2025-05-30 22:43:46,4056416256,1455427584,1591533568,2243948544,2243948544,33192873,4881,0,1.0,0.4580078125,0.48779296875,0.28515625,1778168,1466562560,5954651136,0,0
2025-05-30 22:43:52,4056416256,2272542720,2408656896,2243948544,2243948544,33193098,4881,0,1.0,0.4208984375,0.4794921875,0.283203125,1778798,1466562560,5954655232,0,0
2025-05-30 22:44:01,4056416256,2004688896,2641207296,2243948544,2243948544,33193566,4882,0,99.3,1.95166015625,0.7958984375,0.3876953125,1780625,1466804224,6458516480,0,0
2025-05-30 22:44:07,4056416256,1574178816,2633764864,2243948544,2243948544,33193589,4885,0,1.0,1.794921875,0.7822265625,0.38525390625,1781775,1467996160,6865372160,0,0
